Le nombre de site (960 min)
201
Les sites 
siteId score temps
0 0 0
1 65 7
2 128 16
3 102 15
4 68 9
5 107 18
6 104 17
7 59 9
8 103 20
9 70 12
10 66 10
11 117 15
12 102 19
13 116 20
14 139 18
15 90 17
16 68 6
17 85 12
18 66 12
19 89 16
20 129 19
21 80 16
22 99 16
23 70 9
24 40 8
25 42 7
26 93 16
27 65 5
28 142 19
29 110 15
30 103 11
31 114 13
32 42 8
33 69 7
34 110 20
35 75 9
36 87 9
37 81 16
38 79 7
39 84 12
40 33 6
41 57 11
42 88 12
43 84 13
44 130 19
45 82 11
46 132 18
47 96 18
48 63 10
49 124 15
50 88 14
51 103 14
52 117 16
53 135 19
54 110 19
55 88 15
56 119 15
57 68 5
58 71 10
59 56 6
60 92 16
61 122 15
62 69 12
63 85 8
64 145 20
65 52 10
66 104 11
67 130 17
68 64 6
69 84 12
70 84 14
71 102 14
72 108 13
73 67 12
74 56 8
75 77 14
76 41 7
77 60 5
78 103 17
79 143 19
80 108 12
81 103 14
82 105 15
83 123 17
84 118 16
85 67 8
86 41 6
87 43 6
88 110 17
89 133 18
90 90 18
91 56 10
92 103 19
93 62 5
94 123 18
95 96 12
96 81 7
97 88 15
98 87 10
99 101 20
100 83 15
101 88 14
102 117 14
103 111 15
104 31 5
105 113 17
106 137 19
107 92 10
108 119 15
109 90 12
110 44 7
111 42 8
112 86 9
113 72 5
114 111 20
115 85 15
116 67 9
117 61 8
118 75 12
119 134 18
120 107 14
121 40 6
122 81 7
123 120 20
124 66 10
125 80 13
126 77 12
127 61 7
128 73 9
129 122 15
130 127 16
131 92 17
132 118 16
133 70 8
134 57 10
135 67 5
136 61 8
137 130 19
138 121 16
139 69 6
140 87 9
141 104 18
142 130 16
143 63 11
144 119 15
145 62 5
146 93 12
147 88 12
148 104 18
149 121 18
150 55 8
151 42 5
152 123 15
153 73 12
154 80 7
155 40 6
156 123 19
157 69 13
158 89 15
159 76 7
160 120 18
161 70 7
162 115 20
163 62 5
164 125 15
165 112 18
166 77 8
167 85 10
168 68 11
169 111 17
170 51 9
171 103 13
172 76 10
173 110 12
174 70 12
175 78 8
176 79 10
177 89 17
178 36 5
179 60 5
180 95 9
181 68 9
182 62 11
183 88 15
184 59 9
185 59 5
186 87 9
187 78 14
188 75 10
189 49 6
190 52 8
191 48 8
192 72 12
193 114 19
194 54 7
195 89 13
196 144 19
197 29 5
198 49 8
199 111 15
200 73 9
 La matrice de temps 
0 96 20 70 84 46 57 83 64 48 41 93 49 6 30 39 51 5 85 46 34 82 76 24 69 30 41 48 78 97 17 45 87 17 81 78 68 14 66 20 73 72 68 71 71 65 13 30 21 2 62 4 47 56 48 6 35 92 17 63 70 17 48 23 3 98 83 99 52 100 34 90 77 93 89 19 101 35 55 40 43 36 23 62 26 31 17 74 2 61 17 38 63 78 19 81 82 67 70 43 42 65 49 33 44 51 29 86 23 60 20 23 82 100 95 81 22 95 30 88 47 101 10 22 31 56 92 82 22 27 36 13 64 20 65 37 23 38 19 69 89 85 17 51 98 70 23 23 94 47 83 93 73 32 95 76 45 45 94 35 54 52 27 65 89 77 84 29 30 62 9 3 47 17 21 86 70 2 99 34 92 51 65 45 9 86 101 3 28 94 21 52 56 44 25 12 41 53 18 33 28 
74 0 60 57 17 13 42 59 64 34 85 59 15 27 32 15 30 5 99 90 17 81 20 96 81 40 72 31 36 65 87 34 92 88 44 19 88 27 99 92 32 58 68 83 96 61 53 86 10 73 60 58 13 35 64 87 97 92 11 13 16 47 101 91 26 30 83 93 47 53 10 90 50 69 11 12 14 95 37 2 8 33 66 83 15 86 28 17 38 19 39 90 20 35 75 12 98 55 33 28 52 55 87 48 34 56 94 73 56 54 71 92 53 79 22 11 74 67 59 81 22 95 90 18 61 77 75 60 86 82 87 34 10 91 42 43 48 26 22 56 86 45 64 48 58 41 7 65 62 12 98 51 78 41 15 57 49 62 63 32 27 100 68 76 26 3 22 10 23 5 65 100 101 40 32 81 101 40 8 29 72 55 65 92 62 45 6 15 55 81 51 47 25 13 99 86 55 10 36 6 96 
79 97 0 84 96 3 95 3 24 3 30 76 92 71 16 22 23 76 88 44 98 17 62 44 89 6 69 26 4 68 62 52 85 53 83 43 23 48 64 80 73 15 98 24 13 61 86 53 94 75 92 15 85 18 68 88 63 37 15 85 78 89 91 9 67 37 34 27 80 99 33 44 26 77 8 82 12 34 99 61 32 21 3 49 31 85 2 77 93 74 10 51 35 68 57 88 101 49 98 55 80 18 20 34 64 63 80 66 24 8 26 57 47 5 73 17 91 16 88 35 37 54 96 77 23 12 99 17 66 54 43 24 13 63 77 44 35 43 62 47 69 93 36 44 91 59 58 7 5 32 97 21 16 86 95 66 83 63 41 52 99 78 77 81 81 63 79 33 19 39 42 101 32 61 64 20 82 55 86 52 46 57 33 17 57 29 69 43 45 22 44 49 100 51 40 39 67 25 51 28 35 
9 8 61 0 97 23 47 14 73 17 67 101 38 45 61 14 63 92 15 39 40 24 12 97 16 61 89 32 14 25 10 61 80 48 78 69 17 4 38 32 90 55 61 78 52 57 35 25 76 18 22 69 83 100 65 37 89 58 3 74 54 43 52 11 73 90 85 11 33 24 81 40 84 49 37 89 6 80 101 99 32 57 29 41 92 81 11 74 34 68 2 64 60 88 16 54 50 70 17 59 40 18 96 30 69 41 24 11 58 87 40 84 72 3 71 49 38 78 40 82 48 63 101 74 41 62 79 77 80 12 22 60 31 7 55 33 96 68 52 83 45 17 52 19 78 42 64 80 87 99 34 22 93 84 28 5 73 77 13 38 76 65 5 31 101 87 90 63 25 50 4 17 30 11 77 10 84 9 89 75 20 62 38 85 7 85 4 36 3 70 22 67 65 11 37 50 27 25 41 50 72 
72 61 10 3 0 3 51 53 35 34 33 92 56 45 73 4 87 17 43 24 57 62 9 71 91 7 47 25 37 52 95 74 64 21 100 45 45 98 59 73 10 70 58 97 16 69 72 42 27 94 79 80 73 45 24 18 37 46 81 94 24 66 9 69 44 24 94 11 21 69 53 12 37 17 82 40 92 47 15 53 27 19 70 82 94 46 91 38 22 82 85 91 14 5 54 19 66 29 81 75 53 34 15 3 40 55 74 16 80 79 22 71 17 52 30 67 9 79 24 100 68 20 85 84 54 7 92 27 63 68 7 58 100 91 75 52 35 25 80 54 57 89 44 85 23 50 35 11 10 26 45 54 36 11 39 77 33 45 20 41 40 94 55 31 83 46 30 101 30 19 59 30 66 88 75 80 47 73 19 89 28 48 43 46 63 44 51 85 50 56 29 29 99 6 21 52 74 21 96 65 100 
76 92 51 64 94 0 59 15 95 88 38 8 90 97 27 59 54 43 20 30 90 33 75 82 12 101 82 12 97 40 12 3 88 81 58 19 9 79 2 41 75 45 9 5 14 53 101 94 41 81 28 20 36 26 32 80 77 28 64 49 74 52 54 42 92 33 95 10 3 12 101 87 94 27 84 44 85 93 80 22 38 80 83 49 18 17 22 20 65 61 3 10 52 26 79 41 55 72 89 93 6 78 100 27 34 64 73 32 79 6 49 85 20 29 29 100 95 34 83 16 90 81 23 27 55 51 8 68 97 94 69 53 64 15 35 40 59 62 40 34 44 92 94 25 44 34 4 6 5 61 54 99 94 82 19 11 63 58 15 55 19 4 23 86 35 84 39 33 28 77 90 69 92 11 13 64 13 41 74 62 51 89 75 100 73 30 36 22 36 77 98 75 92 89 54 59 12 57 62 52 41 
31 39 54 82 42 69 0 27 81 75 53 88 59 3 81 6 60 46 46 45 34 12 70 33 66 31 93 35 85 38 20 86 82 15 65 40 54 26 23 51 67 17 50 98 63 56 101 9 37 56 60 100 78 29 81 21 73 26 99 32 22 18 13 81 5 61 61 64 63 32 80 72 54 26 70 15 29 36 96 51 16 47 98 87 49 37 24 60 4 46 14 39 54 6 66 67 48 42 66 80 85 95 2 31 74 10 13 88 29 45 33 59 49 67 28 96 3 5 83 23 55 64 33 55 62 23 13 94 56 53 69 18 31 88 75 35 27 71 6 50 18 65 74 58 60 43 54 5 99 27 35 2 24 88 25 38 17 87 17 73 44 67 74 43 10 101 18 5 78 23 65 63 37 15 34 59 17 40 94 11 46 5 34 31 37 69 21 58 73 64 10 93 56 88 60 71 95 88 83 80 38 
70 36 32 98 63 25 54 0 54 31 74 40 42 61 76 61 68 78 21 92 61 52 13 77 56 79 7 19 88 26 36 95 37 88 45 49 42 7 84 12 92 83 46 25 78 4 89 8 45 35 77 47 30 87 97 14 50 73 48 85 61 34 46 2 4 87 65 53 38 32 52 56 39 58 11 4 41 4 73 3 7 85 15 38 7 7 90 99 31 87 9 47 83 29 5 41 51 25 14 99 9 24 63 67 59 69 17 3 43 91 80 13 43 48 36 65 8 36 40 92 6 31 85 3 63 62 49 66 5 73 55 87 18 67 56 80 95 83 28 44 77 39 55 90 56 39 50 15 45 58 29 78 16 41 4 67 19 5 39 57 47 4 67 45 33 85 15 7 84 85 51 76 13 10 21 63 75 10 30 17 47 9 47 36 89 76 85 55 25 22 91 44 60 29 12 101 62 10 73 85 33 
